,,Machines,File,Accepted Load Algorithm,Accepted Load Greedy,Available Resource,Performance Ratio Algorithm,Performance Ratio Greedy,Difference In PR
0,0.1,10,S1,1024712,1117808,1745600,1.703503033,1.561627757,0.141875276
1,0.1,10,S2,989600,1145263,1691940,1.709721099,1.47733752,0.23238358
2,0.1,10,S3,1060588,1124381,1705860,1.608409675,1.517154772,0.091254902
3,0.1,10,S4,873811,1135786,1771510,2.027337719,1.559721638,0.467616082
4,0.1,10,S5,1038744,1034639,1752530,1.687162573,1.693856505,-0.006693931
5,0.1,10,S6,999606,1030619,1684880,1.685544104,1.634823344,0.05072076
6,0.1,10,S7,998278,1003513,1663370,1.666239264,1.657547037,0.008692227
7,0.1,10,S8,1098420,1136379,1690060,1.538628211,1.487232693,0.051395519
8,0.1,10,S9,886836,993923,1432650,1.61546216,1.441409445,0.174052715
9,0.1,10,S10,868195,1133277,1713220,1.973312447,1.511739848,0.461572599
10,0.1,20,S1,1469517,2120471,3461220,2.355345328,1.632288298,0.72305703
11,0.1,20,S2,1622136,2216765,3393780,2.092167365,1.530960657,0.561206708
12,0.1,20,S3,1250614,2139633,3411860,2.728147934,1.594600569,1.133547364
13,0.1,20,S4,1558227,2174740,3552800,2.280027236,1.633666553,0.646360683
14,0.1,20,S5,1209479,2063132,3507200,2.899760971,1.699939703,1.199821268
15,0.1,20,S6,1658660,2165578,3366960,2.029927773,1.554762747,0.475165026
16,0.1,20,S7,1806028,2138675,3340540,1.849661246,1.561967106,0.28769414
17,0.1,20,S8,1579822,2187390,3409500,2.158154526,1.558706952,0.599447574
18,0.1,20,S9,1390211,2095152,3353020,2.411878485,1.600370761,0.811507724
19,0.1,20,S10,1801562,2105505,3460920,1.921066275,1.643748174,0.2773181
20,0.1,30,S1,2093315,3192380,5228940,2.497923151,1.637944104,0.859979046
21,0.1,30,S2,2186945,3134198,5080830,2.323254586,1.621094136,0.702160449
22,0.1,30,S3,1790606,3202766,5164650,2.884302856,1.612559269,1.271743587
23,0.1,30,S4,1748501,3110968,5334000,3.050613068,1.714578871,1.336034197
24,0.1,30,S5,2429341,3111459,5262240,2.166118301,1.691245168,0.474873133
25,0.1,30,S6,2282547,3206046,5056290,2.215196445,1.577110871,0.638085574
26,0.1,30,S7,2184849,3160572,4976250,2.277617355,1.574477658,0.703139697
27,0.1,30,S8,2110734,3251016,5108790,2.420385515,1.571444127,0.848941388
28,0.1,30,S9,1983925,3224643,5042190,2.541522487,1.563642859,0.977879628
29,0.1,30,S10,2584478,3188752,5209440,2.015664285,1.633692429,0.381971856
30,0.1,40,S1,2322218,4162635,6930480,2.984422651,1.664926183,1.319496469
31,0.1,40,S2,2553107,4102135,6783960,2.657138929,1.653763223,1.003375706
32,0.1,40,S3,2308792,4218419,6860200,2.971337392,1.626249076,1.345088316
33,0.1,40,S4,1700100,4077187,7107680,4.180742309,1.743280355,2.437461954
34,0.1,40,S5,2393321,4162483,6966200,2.910683523,1.673568397,1.237115126
35,0.1,40,S6,2430121,4194203,6737880,2.772652061,1.60647446,1.166177601
36,0.1,40,S7,2218266,4157644,6709920,3.024849139,1.613875551,1.410973588
37,0.1,40,S8,2293071,4205915,6813400,2.971299188,1.619956656,1.351342532
38,0.1,40,S9,2083259,4175374,6724200,3.227731165,1.610442562,1.617288604
39,0.1,40,S10,2504709,4164761,6964000,2.780362908,1.672124763,1.108238145
40,0.1,50,S1,3233327,5064052,8659100,2.678077411,1.709915301,0.96816211
41,0.1,50,S2,2763907,5058975,8484500,3.069748729,1.677118389,1.39263034
42,0.1,50,S3,2490048,5080882,8575250,3.443809115,1.687748308,1.756060807
43,0.1,50,S4,2905402,5110661,8890250,3.059903586,1.739549933,1.320353654
44,0.1,50,S5,3279968,5118229,8759650,2.670651055,1.711461132,0.959189923
45,0.1,50,S6,2897715,5084337,8427300,2.908257023,1.657502247,1.250754777
46,0.1,50,S7,2623431,5058869,8390400,3.1982545,1.658552534,1.539701965
47,0.1,50,S8,2959266,5157145,8521200,2.879497821,1.652309563,1.227188259
48,0.1,50,S9,2735895,5098344,8384550,3.064646121,1.644563411,1.42008271
49,0.1,50,S10,2871547,5102640,8678500,3.022238536,1.70078626,1.321452276
50,0.1,60,S1,2831431,5902331,10023723,3.540161494,1.698265143,1.841896351
51,0.1,60,S2,3557057,5966305,10023723,2.817982113,1.680055411,1.137926702
52,0.1,60,S3,2706725,5943095,10023723,3.703266124,1.686616653,2.016649471
53,0.1,60,S4,3731908,5974024,10023723,2.685951261,1.677884622,1.00806664
54,0.1,60,S5,3827518,5973901,10023723,2.618857181,1.677919169,0.940938012
55,0.1,60,S6,3093254,5961299,10023723,3.240510802,1.681466237,1.559044564
56,0.1,60,S7,3594978,5957696,10023723,2.788257119,1.682483128,1.105773991
57,0.1,60,S8,3803438,5989692,10023723,2.635437465,1.673495565,0.961941899
58,0.1,60,S9,2996076,5986005,10023723,3.345617067,1.674526333,1.671090734
59,0.1,60,S10,3609786,5977164,10023723,2.77681918,1.677003174,1.099816006
60,0.1,70,S1,3568929,6760990,10023723,2.808608129,1.482582137,1.326025992
61,0.1,70,S2,3639778,6768731,10023723,2.753938015,1.480886595,1.27305142
62,0.1,70,S3,3608675,6766530,10023723,2.777674077,1.481368294,1.296305783
63,0.1,70,S4,3358131,6791745,10023723,2.98491125,1.475868573,1.509042677
64,0.1,70,S5,3772650,6758953,10023723,2.656944853,1.483028954,1.173915899
65,0.1,70,S6,4448789,6795223,10023723,2.253135179,1.475113179,0.778022
66,0.1,70,S7,4210018,6777811,10023723,2.380921649,1.478902702,0.902018947
67,0.1,70,S8,3206829,6810042,10023723,3.125742907,1.471903257,1.65383965
68,0.1,70,S9,3510068,6798123,10023723,2.855706214,1.474483913,1.381222302
69,0.1,70,S10,3758938,6782738,10023723,2.66663696,1.477828423,1.188808537
70,0.1,80,S1,4760846,7527374,10023723,2.105449956,1.331636106,0.77381385
71,0.1,80,S2,4843331,7503720,10023723,2.069592807,1.335833826,0.733758981
72,0.1,80,S3,3808504,7494636,10023723,2.631931856,1.337452946,1.294478909
73,0.1,80,S4,3832851,7506805,10023723,2.615213323,1.335284852,1.279928471
74,0.1,80,S5,4621671,7503762,10023723,2.168852564,1.33582635,0.833026215
75,0.1,80,S6,4173799,7510887,10023723,2.401582587,1.334559154,1.067023433
76,0.1,80,S7,4578680,7511091,10023723,2.189216761,1.334522908,0.854693854
77,0.1,80,S8,4279563,7513867,10023723,2.342230503,1.334029868,1.008200636
78,0.1,80,S9,3612596,7505129,10023723,2.774659275,1.335583039,1.439076236
79,0.1,80,S10,4054984,7504828,10023723,2.471951307,1.335636606,1.136314701
80,0.1,90,S1,3927400,8147915,10023723,2.552254163,1.230219387,1.322034776
81,0.1,90,S2,3946942,8136124,10023723,2.539617506,1.232002241,1.307615266
82,0.1,90,S3,4007731,8126678,10023723,2.501096755,1.233434252,1.267662503
83,0.1,90,S4,5231078,8134320,10023723,1.916186874,1.23227547,0.683911404
84,0.1,90,S5,4184976,8127643,10023723,2.395168574,1.233287806,1.161880769
85,0.1,90,S6,4740569,8135217,10023723,2.11445567,1.232139598,0.882316072
86,0.1,90,S7,5161103,8138745,10023723,1.94216682,1.231605487,0.710561333
87,0.1,90,S8,4998807,8144453,10023723,2.005223046,1.230742322,0.774480724
88,0.1,90,S9,4831352,8135102,10023723,2.074724218,1.232157015,0.842567203
89,0.1,90,S10,5128299,8128961,10023723,1.954590206,1.233087845,0.721502361
90,0.1,100,S1,5546713,8666778,10023723,1.807146503,1.156568566,0.650577937
91,0.1,100,S2,4881126,8657627,10023723,2.053567763,1.157791044,0.895776719
92,0.1,100,S3,6049738,8642455,10023723,1.656885472,1.159823569,0.497061903
93,0.1,100,S4,5873045,8653369,10023723,1.70673356,1.158360749,0.54837281
94,0.1,100,S5,5403168,8655370,10023723,1.855156641,1.158092953,0.697063689
95,0.1,100,S6,4688295,8650366,10023723,2.13803163,1.158762878,0.979268752
96,0.1,100,S7,6011931,8659561,10023723,1.667305064,1.157532466,0.509772598
97,0.1,100,S8,4834445,8662404,10023723,2.073396843,1.157152564,0.916244279
98,0.1,100,S9,5767391,8658745,10023723,1.737999556,1.157641552,0.580358004
99,0.1,100,S10,5682542,8644888,10023723,1.763950535,1.15949715,0.604453385
100,0.1,110,S1,6033594,9083536,10023723,1.661318776,1.103504516,0.55781426
101,0.1,110,S2,4349213,9070873,10023723,2.304721107,1.105045016,1.199676091
102,0.1,110,S3,4030321,9056728,10023723,2.487078076,1.1067709,1.380307176
103,0.1,110,S4,6206770,9079354,10023723,1.614966077,1.104012797,0.510953281
104,0.1,110,S5,6057150,9080230,10023723,1.654857978,1.103906289,0.550951689
105,0.1,110,S6,4348443,9064125,10023723,2.305129215,1.105867693,1.199261523
106,0.1,110,S7,4467882,9071284,10023723,2.243506655,1.104994949,1.138511706
107,0.1,110,S8,5179438,9074661,10023723,1.935291628,1.104583741,0.830707887
108,0.1,110,S9,5665041,9074488,10023723,1.769399904,1.1046048,0.664795104
109,0.1,110,S10,4739757,9059844,10023723,2.114817912,1.106390242,1.008427669
110,0.1,120,S1,5325210,9405216,10023723,1.882315064,1.065762126,0.816552938
111,0.1,120,S2,5864854,9400703,10023723,1.709117226,1.066273767,0.642843459
112,0.1,120,S3,6853821,9383809,10023723,1.462501428,1.068193417,0.394308011
113,0.1,120,S4,4170071,9411182,10023723,2.403729577,1.065086511,1.338643066
114,0.1,120,S5,6559809,9413045,10023723,1.528051045,1.064875712,0.463175333
115,0.1,120,S6,4556656,9395836,10023723,2.199798054,1.066826092,1.132971962
116,0.1,120,S7,5847388,9400993,10023723,1.714222316,1.066240875,0.647981441
117,0.1,120,S8,5801009,9399273,10023723,1.727927504,1.066435989,0.661491514
118,0.1,120,S9,5898622,9406558,10023723,1.699332997,1.065610078,0.633722919
119,0.1,120,S10,6638160,9396723,10023723,1.510015275,1.066725389,0.443289886
120,0.1,130,S1,6977896,9647334,10023723,1.436496474,1.03901482,0.397481654
121,0.1,130,S2,6901521,9653961,10023723,1.45239332,1.038301584,0.414091736
122,0.1,130,S3,7072746,9647624,10023723,1.417232147,1.038983588,0.378248559
123,0.1,130,S4,5078669,9670808,10023723,1.973690941,1.036492814,0.937198127
124,0.1,130,S5,6875202,9659197,10023723,1.457953235,1.037738748,0.420214488
125,0.1,130,S6,6979679,9648263,10023723,1.436129513,1.038914777,0.397214736
126,0.1,130,S7,6960903,9656008,10023723,1.440003258,1.038081472,0.401921786
127,0.1,130,S8,5563525,9645710,10023723,1.801685622,1.039189754,0.762495868
128,0.1,130,S9,6877196,9657617,10023723,1.457530511,1.037908523,0.419621988
129,0.1,130,S10,5617072,9657825,10023723,1.784510329,1.03788617,0.746624158
130,0.1,140,S1,7319430,9828533,10023723,1.369467704,1.019859525,0.349608179
131,0.1,140,S2,5975138,9844872,10023723,1.677571798,1.01816692,0.659404879
132,0.1,140,S3,7241302,9829211,10023723,1.384243193,1.019789177,0.364454015
133,0.1,140,S4,7265850,9847096,10023723,1.379566465,1.017936963,0.361629502
134,0.1,140,S5,7330512,9844109,10023723,1.367397393,1.018245836,0.349151557
135,0.1,140,S6,6065288,9828044,10023723,1.652637599,1.019910269,0.63272733
136,0.1,140,S7,6002727,9841250,10023723,1.669861548,1.018541649,0.651319899
137,0.1,140,S8,5585141,9833141,10023723,1.794712613,1.019381599,0.775331014
138,0.1,140,S9,6038117,9834542,10023723,1.660074324,1.019236381,0.640837943
