,Slack,SD,Machines,Accepted Load,Rejected Load,Available Resource
0,0.1,0.04,10,1013797.8,15457402.2,1373690
1,0.1,0.04,50,3223092.4,13248107.6,6603570
2,0.1,0.04,90,5339232.5,11131967.5,12141126
3,0.1,0.04,130,7268571.3,9202628.7,16161402
4,0.1,0.04,170,9199362.1,7271837.9,16471200
5,0.1,0.05,10,1040806.8,15430393.2,1383117
6,0.1,0.05,50,2854271.6,13616928.4,6418005
7,0.1,0.05,90,5651506.7,10819693.3,13021200
8,0.1,0.05,130,7212753.2,9258446.8,16159569
9,0.1,0.05,170,9157964.2,7313235.8,16471200
10,0.1,0.033,10,1010539.6,15460660.4,1419178
11,0.1,0.033,50,3049228.6,13421971.4,6378255
12,0.1,0.033,90,5465505.3,11005694.7,12416940
13,0.1,0.033,130,7751506.1,8719693.9,16471200
14,0.1,0.033,170,9409576.7,7061623.3,16471200
15,0.1,0.034,10,1002636.6,15468563.4,1432146
16,0.1,0.034,50,2967942.2,13503257.8,6261235
17,0.1,0.034,90,5442797.7,11028402.3,12653253
18,0.1,0.034,130,7298288.6,9172911.4,16296869
19,0.1,0.034,170,9281031.5,7190168.5,16471200
20,0.1,0.036,10,1024749.8,15446450.2,1391871
21,0.1,0.036,50,3146426.2,13324773.8,6547185
22,0.1,0.036,90,5424166.7,11047033.3,12595689
23,0.1,0.036,130,7758336.9,8712863.1,16369988
24,0.1,0.036,170,9519661.8,6951538.2,16471200
25,0.1,0.037,10,995192.2,15476007.8,1374873
26,0.1,0.037,50,3081391.4,13389808.6,6718605
27,0.1,0.037,90,5185175.7,11286024.3,12186675
28,0.1,0.037,130,7540860.1,8930339.9,16321602
29,0.1,0.037,170,9352263.9,7118936.1,16471200
30,0.1,0.038,10,939074.6,15532125.4,1346179
31,0.1,0.038,50,3212739.4,13258460.6,6869030
32,0.1,0.038,90,5154537.4,11316662.6,11921319
33,0.1,0.038,130,7639340.9,8831859.1,16380284
34,0.1,0.038,170,9205768,7265432,16471200
35,0.1,0.042,10,1028709.2,15442490.8,1425529
36,0.1,0.042,50,3051373.9,13419826.1,6706050
37,0.1,0.042,90,5049974.3,11421225.7,12279051
38,0.1,0.042,130,7544220.6,8926979.4,16246104
39,0.1,0.042,170,9178542,7292658,16471200
40,0.1,0.043,10,998542.8,15472657.2,1416513
41,0.1,0.043,50,3001704.6,13469495.4,6554205
42,0.1,0.043,90,5425953.3,11045246.7,12947157
43,0.1,0.043,130,7456032.9,9015167.1,16394116
44,0.1,0.043,170,9524179.2,6947020.8,16471200
45,0.1,0.045,10,1019907,15451293,1396090
46,0.1,0.045,50,3083900.1,13387299.9,6560520
