,Slack,SD,File,Machines,Accepted Load,Rejected Load,Available Resource
0,0.1,0.04,S1,10,922412,8611672,1170560
1,0.1,0.04,S2,10,864727,8669357,1417730
2,0.1,0.04,S3,10,886725,8647359,1466910
3,0.1,0.04,S4,10,972136,8561948,1398260
4,0.1,0.04,S5,10,732958,8801126,1128420
5,0.1,0.04,S6,10,1010732,8523352,1174630
6,0.1,0.04,S7,10,863830,8670254,1427930
7,0.1,0.04,S8,10,940895,8593189,1477440
8,0.1,0.04,S9,10,1056490,8477594,1367740
9,0.1,0.04,S10,10,937550,8596534,1468420
10,0.1,0.04,S1,50,3384893,6149191,7286450
11,0.1,0.04,S2,50,3621406,5912678,7357100
12,0.1,0.04,S3,50,3554951,5979133,7288200
13,0.1,0.04,S4,50,3041500,6492584,7435050
14,0.1,0.04,S5,50,3017742,6516342,7253950
15,0.1,0.04,S6,50,3175204,6358880,7184400
16,0.1,0.04,S7,50,3376145,6157939,7123350
17,0.1,0.04,S8,50,2287352,7246732,5689800
18,0.1,0.04,S9,50,3485964,6048120,7296700
19,0.1,0.04,S10,50,3308145,6225939,7394950
20,0.1,0.04,S1,90,6110911,3423173,9534084
21,0.1,0.04,S2,90,3691926,5842158,9534084
22,0.1,0.04,S3,90,3787233,5746851,9534084
23,0.1,0.04,S4,90,5683321,3850763,9534084
24,0.1,0.04,S5,90,5523129,4010955,9534084
25,0.1,0.04,S6,90,5490944,4043140,9534084
26,0.1,0.04,S7,90,3809325,5724759,9534084
27,0.1,0.04,S8,90,5652517,3881567,9534084
28,0.1,0.04,S9,90,5715468,3818616,9534084
29,0.1,0.04,S10,90,4170193,5363891,9534084
30,0.1,0.04,S1,130,6413458,3120626,9534084
31,0.1,0.04,S2,130,4200350,5333734,9534084
32,0.1,0.04,S3,130,6686856,2847228,9534084
33,0.1,0.04,S4,130,6478072,3056012,9534084
34,0.1,0.04,S5,130,6615162,2918922,9534084
35,0.1,0.04,S6,130,6576408,2957676,9534084
36,0.1,0.04,S7,130,6548769,2985315,9534084
37,0.1,0.04,S8,130,6444004,3090080,9534084
38,0.1,0.04,S9,130,6934863,2599221,9534084
39,0.1,0.04,S10,130,5063474,4470610,9534084
40,0.1,0.04,S1,170,5213859,4320225,9534084
41,0.1,0.04,S2,170,6807708,2726376,9534084
42,0.1,0.04,S3,170,6977594,2556490,9534084
43,0.1,0.04,S4,170,6772165,2761919,9534084
44,0.1,0.04,S5,170,6792752,2741332,9534084
45,0.1,0.04,S6,170,6602654,2931430,9534084
46,0.1,0.04,S7,170,6667776,2866308,9534084
47,0.1,0.04,S8,170,6868795,2665289,9534084
48,0.1,0.04,S9,170,7221867,2312217,9534084
49,0.1,0.04,S10,170,5287463,4246621,9534084
50,0.1,0.05,S1,10,970151,8563933,1469590
51,0.1,0.05,S2,10,967137,8566947,1443520
52,0.1,0.05,S3,10,974381,8559703,1356040
53,0.1,0.05,S4,10,835995,8698089,1581480
54,0.1,0.05,S5,10,930870,8603214,1163850
55,0.1,0.05,S6,10,953001,8581083,1176320
56,0.1,0.05,S7,10,882437,8651647,1489840
57,0.1,0.05,S8,10,803101,8730983,1462970
58,0.1,0.05,S9,10,1067401,8466683,1367040
59,0.1,0.05,S10,10,948087,8585997,1362530
60,0.1,0.05,S1,50,2967609,6566475,5499300
61,0.1,0.05,S2,50,2998817,6535267,5610300
62,0.1,0.05,S3,50,3606926,5927158,7533450
63,0.1,0.05,S4,50,2603666,6930418,5704350
64,0.1,0.05,S5,50,3708998,5825086,7541550
65,0.1,0.05,S6,50,3116237,6417847,7334650
66,0.1,0.05,S7,50,3051203,6482881,5511750
